"species","dev_full","dev_no_FRic","unique_FRic","dev_no_FEve","unique_FEve","dev_no_FDiv","unique_FDiv","dev_no_wooddensity_cwm","unique_wooddensity_cwm","dev_no_LA_cwm","unique_LA_cwm","dev_no_height_cwm","unique_height_cwm","dev_no_sp_richness","unique_sp_richness","dev_no_pielou_evenness","unique_pielou_evenness","dev_no_gini_simpson","unique_gini_simpson","dev_no_cover","unique_cover","dev_no_mean_fhd","unique_mean_fhd","dev_no_prop_canopy","unique_prop_canopy"
"Wedge-tailed Eagle",0.245056684716947,0.276093273698964,-0.0310365889820169,0.24702676332685,-0.00197007860990278,0.244096279393557,0.000960405323390229,0.246135550284369,-0.00107886556742137,0.251732660377495,-0.00667597566054809,0.247794455719607,-0.00273777100265993,0.247308497339017,-0.00225181262206933,0.241334712473334,0.00372197224361384,0.246178107669533,-0.00112142295258585,0.24689793593263,-0.00184125121568224,0.247476106203206,-0.00241942148625884,0.246915796860275,-0.0018591121433279
"Australian Pipit",0.243987862698734,0.216205032018238,0.0277828306804961,0.24117688475614,0.00281097794259469,0.24340705277534,0.000580809923394127,0.24238484583311,0.00160301686562414,0.237302556839657,0.00668530585907715,0.237330319692795,0.00665754300593896,0.235035193057283,0.00895266964145142,0.243281191107906,0.000706671590828073,0.243113518398615,0.000874344300119595,0.244218753148986,-0.000230890450251348,0.24230608248368,0.00168178021505389,0.240040454746286,0.00394740795244805
"Black-faced Monarch",0.629137191450975,0.635399921846096,-0.00626273039512026,0.629139876334647,-2.68488367183295e-06,0.62292817140319,0.00620902004778545,0.628441427559921,0.000695763891053969,0.629657033711858,-0.000519842260883197,0.62233319393828,0.00680399751269489,0.629768472485741,-0.000631281034765285,0.620682389640881,0.00845480181009417,0.629771913301043,-0.000634721850067854,0.624972793629167,0.004164397821808,0.627821705743085,0.00131548570789053,0.629524846284282,-0.00038765483330705
"Osprey",0.46103001710176,0.496627503018475,-0.0355974859167154,0.454316755356455,0.0067132617453049,0.458966550518001,0.00206346658375828,0.458652774812049,0.0023772422897112,0.460124073882509,0.000905943219250693,0.461542357629023,-0.000512340527263511,0.460796156148258,0.000233860953501808,0.461613607379466,-0.000583590277706048,0.456895812746531,0.00413420435522877,0.461314710848919,-0.000284693747159226,0.460880324594852,0.000149692506907828,0.45779903477047,0.00323098233129021
"Rainbow Bee-eater",0.561153578502867,0.576985637653334,-0.0158320591504677,0.560214655250499,0.000938923252367219,0.562902877752125,-0.00174929924925804,0.55520095674066,0.00595262176220623,0.550733071517054,0.0104205069858123,0.559643787780941,0.00150979072192525,0.555389320738816,0.00576425776405087,0.548934670403808,0.0122189080990588,0.553901203218239,0.00725237528462797,0.560632413989503,0.000521164513363037,0.556602192025145,0.00455138647772191,0.553744638729461,0.00740893977340507
"Common Bronzewing",0.474883319912449,0.504206712508862,-0.0293233925964129,0.482438324770465,-0.00755500485801552,0.478922742568652,-0.00403942265620238,0.475854537852791,-0.00097121794034194,0.481710270198271,-0.0068269502858217,0.47971837401487,-0.0048350541024203,0.476517251347884,-0.00163393143543428,0.476265350641107,-0.00138203072865811,0.477600637720546,-0.00271731780809636,0.476145739782248,-0.00126241986979903,0.481471100582793,-0.00658778067034349,0.475943574421247,-0.00106025450879771
"Weebill",0.604577841262225,0.623949600965433,-0.0193717597032083,0.604287035385704,0.000290805876520417,0.602998779137621,0.00157906212460401,0.603747113947988,0.000830727314236279,0.604043341507744,0.000534499754480944,0.60534163882123,-0.000763797559005241,0.607230551010986,-0.00265270974876153,0.603896449093387,0.000681392168837225,0.60170006767956,0.00287777358266483,0.597577264066514,0.00700057719571023,0.603969078457816,0.000608762804408469,0.6112863629865,-0.00670852172427505
"Australian Rufous Fantail",0.488989092701321,0.491503248681726,-0.0025141559804045,0.4878107292928,0.00117836340852179,0.487721168568437,0.00126792413288451,0.488608234635012,0.000380858066309719,0.485600168428668,0.00338892427265303,0.486680049961454,0.0023090427398671,0.488609490059232,0.000379602642089583,0.48882977661127,0.000159316090051598,0.487498282073107,0.00149081062821405,0.487345709716318,0.00164338298500372,0.488223547705524,0.000765544995797229,0.49027277899986,-0.00128368629853842
"White-throated Gerygone",0.510780827496546,0.513243004310796,-0.00246217681425021,0.510770757182106,1.00703144397807e-05,0.509616363422123,0.00116446407442272,0.510573291674521,0.000207535822024818,0.509375336486255,0.00140549101029108,0.506588801848632,0.00419202564791421,0.509258140098585,0.00152268739796058,0.510033050244548,0.000747777251997817,0.509599344048016,0.00118148344852997,0.499562287968656,0.0112185395278898,0.50955677136771,0.00122405612883636,0.507626224242373,0.00315460325417261
"White-naped Honeyeater",0.389444390570834,0.408825761070814,-0.0193813704999791,0.393764293792247,-0.00431990322141218,0.390909819494332,-0.00146542892349738,0.388542757887137,0.000901632683697307,0.389149577781004,0.00029481278983029,0.393875870070477,-0.00443147949964279,0.393429854966297,-0.00398546439546293,0.386618036700269,0.00282635387056562,0.386903553614134,0.00254083695670065,0.394963974727689,-0.00551958415685438,0.389158506884394,0.000285883686440835,0.384420239170401,0.00502415140043361
"White-eared Honeyeater",0.565826333724773,0.569343441416386,-0.00351710769161351,0.564901713696594,0.000924620028178502,0.561602056210886,0.00422427751388676,0.553437705137489,0.0123886285872833,0.550238329503838,0.0155880042209343,0.564223638929268,0.00160269479550512,0.562219027307673,0.00360730641709917,0.562755915265144,0.00307041845962874,0.564946357626563,0.000879976098210111,0.564842941441477,0.000983392283295248,0.564122367601705,0.00170396612306745,0.566101844613069,-0.00027551088829636
"White-breasted Woodswallow",0.564652339541101,0.591926180997469,-0.0272738414563679,0.579818833249014,-0.0151664937079126,0.568829232529202,-0.00417689298810131,0.571013059536544,-0.00636071999544274,0.572480948174899,-0.00782860863379831,0.569644385894438,-0.00499204635333739,0.569719390481309,-0.00506705094020798,0.575728632776392,-0.0110762932352915,0.573283648752163,-0.00863130921106159,0.573346877458809,-0.00869453791770847,0.569339495259018,-0.00468715571791689,0.570929877171588,-0.00627753763048755
"Spiny-cheeked Honeyeater",0.778487042038819,0.781585206391534,-0.00309816435271471,0.781086466948954,-0.0025994249101351,0.77784508495794,0.000641957080878996,0.779551422181317,-0.0010643801424981,0.7793725640828,-0.000885522043980291,0.779644035734544,-0.00115699369572453,0.780178226430954,-0.00169118439213423,0.781162571728598,-0.00267552968977836,0.780821101002569,-0.00233405896374961,0.779566662973418,-0.00107962093459846,0.783270012594608,-0.00478297055578847,0.777923108876656,0.000563933162163854
"White-headed Pigeon",0.397781284924467,0.415752587388525,-0.0179713024640578,0.41317361114564,-0.0153923262211726,0.381145803215336,0.0166354817091315,0.404655518994781,-0.00687423407031384,0.399693601408055,-0.00191231648358747,0.401076941866633,-0.00329565694216588,0.378994653611144,0.0187866313133235,0.362807774916327,0.03497351000814,0.382634614391896,0.0151466705325716,0.364701038897493,0.0330802460269747,0.390465215377397,0.00731606954707065,0.385969452563043,0.0118118323614241
