"species","dev_full","dev_base","dev_no_fd","dev_no_cwm","dev_no_rich","dev_no_struct","unique_total_veg","unique_fd","unique_cwm","unique_richness","unique_structure","dev_no_land","unique_landscape"
"Australian Spectacled Monarch",0.599378841436679,0.61247373682375,0.621804232174169,0.600157950067789,0.600057250578819,0.602095103439322,-0.0130948953870711,-0.0224253907374898,-0.000779108631109748,-0.000678409142139458,-0.00271626200264252,0.529605568785215,0.0697732726514638
"Superb Parrot",0.380956519248949,0.487752678270381,0.597749376556792,0.337118193189883,0.402570559676508,0.345818228416898,-0.106796159021432,-0.216792857307843,0.0438383260590656,-0.0216140404275597,0.0351382908320507,0.434284371765028,-0.0533278525160789
"Powerful Owl",0.415649781740548,0.39724097999041,0.412236376814212,0.417665753548589,0.450330078986331,0.414822679449687,0.0184088017501387,0.00341340492633674,-0.00201597180804108,-0.0346802972457823,0.000827102290861748,0.333008023407222,0.0826417583333265
"Noisy Pitta",0.477510192691786,0.486586157564034,0.518684927594506,0.482606831478738,0.47858695683331,0.469436755000902,-0.00907596487224799,-0.0411747349027198,-0.00509663878695205,-0.00107676414152397,0.00807343769088387,0.42769730242847,0.0498128902633159
"Diamond Firetail",0.665474676747239,0.720161505945632,0.684632716363231,0.69418143378398,0.67529656688287,0.681320246841942,-0.054686829198393,-0.0191580396159917,-0.0287067570367402,-0.00982189013563073,-0.0158455700947024,0.523169928986646,0.142304747760593
"Southern Emuwren",0.675564395348956,0.644497099962924,0.651609127497766,0.648197192824166,0.680806160763248,0.674816152926512,0.0310672953860323,0.0239552678511908,0.0273672025247904,-0.00524176541429178,0.000748242422444423,0.629095316342871,0.0464690790060859
"White-browed Babbler",0.696022636450037,0.771598406002786,0.758769136342957,0.684984272812907,0.699434802773032,0.637680804881666,-0.0755757695527488,-0.0627464998929197,0.0110383636371296,-0.00341216632299457,0.0583418315683715,0.414967106013853,0.281055530436184
"Chestnut-rumped Thornbill",0.781090918979433,0.783286105265481,0.670646638445043,0.783762314914955,0.779219077286335,0.775152043217497,-0.00219518628604831,0.11044428053439,-0.00267139593552179,0.00187184169309806,0.00593887576193619,0.652607291198423,0.12848362778101
"White-browed Woodswallow",0.317385067077296,0.444297490642625,0.412921134467443,0.360137075067174,0.337237787635708,0.280818347498416,-0.12691242356533,-0.0955360673901472,-0.0427520079898787,-0.0198527205584127,0.0365667195788799,0.404930263265503,-0.0875451961882079
"Forest Raven",0.357343189330475,0.551291533486017,0.552162128306048,0.359100124232196,0.362379179448094,0.37533374924582,-0.193948344155542,-0.194818938975572,-0.00175693490172113,-0.00503599011761874,-0.0179905599153448,0.223368353979122,0.133974835351354
"White-bellied Cuckooshrike",0.340679010921847,0.368039525948218,0.363753610085995,0.350400516709587,0.345865817464836,0.34001197786228,-0.0273605150263702,-0.0230745991641473,-0.00972150578774,-0.00518680654298848,0.000667033059567113,0.230511759781966,0.110167251139881
"Emu",0.621922859250506,0.671859383721909,0.701718993319154,0.629448652278654,0.633865973096893,0.581884541715364,-0.0499365244714028,-0.0797961340686478,-0.00752579302814749,-0.011943113846387,0.0400383175351424,0.498536455598,0.123386403652506
"Australian Boobook",0.444540132635434,0.445391250890509,0.453311834386231,0.441203190364772,0.442067975180507,0.441676593583687,-0.00085111825507439,-0.00877170175079667,0.00333694227066189,0.0024721574549269,0.00286353905174763,0.446143016124948,-0.00160288348951404
"Scarlet Robin",0.49793313490084,0.491133307855152,0.505407319556265,0.497704278134068,0.501460696202486,0.487290118852848,0.00679982704568749,-0.00747418465542526,0.000228856766771812,-0.003527561301646,0.0106430160479914,0.221316471190409,0.276616663710431
"Bassian Thrush",0.526838884198019,0.494357003494225,0.531357677587654,0.510790932404043,0.522294738422179,0.518767481094376,0.0324818807037943,-0.00451879338963457,0.0160479517939764,0.00454414577584017,0.00807140310364296,0.437513688757534,0.089325195440485
"Collared Sparrowhawk",0.0652692316766992,0.0761171793144705,0.070822302831251,0.0641743607448594,0.0739478944122043,0.0655486060888615,-0.0108479476377714,-0.00555307115455179,0.00109487093183978,-0.00867866273550515,-0.000279374412162317,0.0610183304044823,0.00425090127221688
"Cockatiel",0.49289186441874,0.614410399157548,0.595940858738371,0.483164966824135,0.473194476732993,0.510243683263387,-0.121518534738809,-0.103048994319631,0.00972689759460521,0.0196973876857467,-0.0173518188446475,0.319073540675278,0.173818323743462
"Western Gerygone",0.515284754340418,0.600101453615005,0.611006736481277,0.516922019109424,0.514365664667588,0.514190425356605,-0.0848166992745869,-0.0957219821408593,-0.00163726476900627,0.00091908967282972,0.00109432898381301,0.396397395777496,0.118887358562922
"Regent Bowerbird",0.608421777960541,0.661519369787279,0.676479155074398,0.604414871029737,0.60922983925983,0.611575206413657,-0.0530975918267378,-0.0680573771138564,0.00400690693080463,-0.000808061299288454,-0.00315342845311539,0.51499628479605,0.0934254931644914
"Gang-gang Cockatoo",0.499081304332909,0.472954620394289,0.513874527724592,0.471997897408953,0.476603379030357,0.503039096413439,0.0261266839386195,-0.0147932233916826,0.0270834069239564,0.0224779253025521,-0.00395779208052988,0.128275682381365,0.370805621951544
"Australian Logrunner",0.64066726249439,0.710210182820603,0.726002262480089,0.642950831747872,0.640335904538544,0.622902757940661,-0.0695429203262132,-0.0853349999856993,-0.00228356925348228,0.000331357955845268,0.0177645045537288,0.564483264124062,0.0761839983703277
"Varied Triller",0.583808615412842,0.627585071643615,0.627768739675044,0.582824318920443,0.583517481073515,0.583794872244939,-0.0437764562307731,-0.0439601242622023,0.00098429649239884,0.00029113433932626,1.37431679023692e-05,0.446942260672042,0.1368663547408
"Purple-backed Fairywren",0.172001181750494,0.282182016226015,0.381791319597404,0.0874323563712836,0.351767319183994,0.0255836751890161,-0.110180834475521,-0.20979013784691,0.0845688253792105,-0.1797661374335,0.146417506561478,-0.258287320610421,0.430288502360915
"Speckled Warbler",0.61066108523614,0.616543554953416,0.620136996632031,0.614167583696386,0.604376844171668,0.59902325589192,-0.00588246971727602,-0.00947591139589132,-0.00350649846024631,0.00628424106447223,0.0116378293442196,0.413857269096563,0.196803816139577
"Peregrine Falcon",0.167062214137836,0.187620626499866,0.17616563381245,0.176913857276418,0.16946478280843,0.16972114342073,-0.0205584123620302,-0.00910341967461392,-0.00985164313858197,-0.00240256867059394,-0.00265892928289369,0.0504773378020635,0.116584876335773
