"species","deviance_explained","max_edf","scientific_name","Order","population_desc","in_traits"
"Red-backed Fairywren",0.7651,2.29,"Malurus melanocephalus","Passeriformes","Endemic (entirely Australian)",TRUE
"Australian Owlet-nightjar",0.4637,4.26,"Aegotheles cristatus","Caprimulgiformes","Endemic (entirely Australian)",TRUE
"Yellow-tufted Honeyeater",0.6942,2.89,"Lichenostomus melanops","Passeriformes","Endemic (entirely Australian)",TRUE
"Horsfield's Bronze-Cuckoo",0.3274,2.93,"Chalcites basalis","Cuculiformes","Endemic (breeding only)",TRUE
"Sahul Brush Cuckoo",0.366,3.89,"Cacomantis variolosus","Cuculiformes","Australian",TRUE
"Pheasant Coucal",0.5064,2.95,"Centropus phasianinus","Cuculiformes","Australian",TRUE
"Gray-crowned Babbler",0.7377,2.85,"Pomatostomus temporalis","Passeriformes","Australian",TRUE
"Red-capped Robin",0.7158,2.87,"Petroica goodenovii","Passeriformes","Endemic (entirely Australian)",TRUE
"Fuscous Honeyeater",0.7391,3.52,"Ptilotula fusca","Passeriformes","Endemic (entirely Australian)",TRUE
"Australian Hobby",0.1553,1.39,"Falco longipennis","Falconiformes","Australian",TRUE
"Varied Sittella",0.3451,2.57,"Daphoenositta chrysoptera","Passeriformes","Endemic (entirely Australian)",TRUE
"Brahminy Kite",0.589,1.95,"Haliastur indus","Accipitriformes","Australian",TRUE
"White-throated Needletail",0.5333,4.57,"Hirundapus caudacutus","Caprimulgiformes","Non-breeding migrant",TRUE
"White-winged Triller",0.5616,3.55,"Lalage tricolor","Passeriformes","Australian",TRUE
"Australian Ringneck",0.8272,1.95,"Barnardius zonarius","Psittaciformes","Endemic (entirely Australian)",TRUE
"Zebra Finch",0.6817,2.42,"Taeniopygia guttata","Passeriformes","Australian",TRUE
"Brown Falcon",0.3559,1.28,"Falco berigora","Falconiformes","Australian",TRUE
"Little Lorikeet",0.5044,3.22,"Psitteuteles pusillus","Psittaciformes","Endemic (entirely Australian)",TRUE
"Singing Honeyeater",0.7118,2.16,"Gavicalis virescens","Passeriformes","Endemic (entirely Australian)",TRUE
"Sahul Cicadabird",0.464,4.75,"Edolisoma tenuirostre","Passeriformes","Unknown",TRUE
"Eastern Shrike-tit",0.3482,2.34,"Falcunculus frontatus","Passeriformes","Endemic (entirely Australian)",TRUE
"Rose Robin",0.3566,4.24,"Petroica rosea","Passeriformes","Endemic (entirely Australian)",TRUE
"Black Kite",0.8307,2.94,"Milvus migrans","Accipitriformes","Australian",TRUE
"European Goldfinch",0.6854,2.4,"Carduelis carduelis","Passeriformes","Introduced",TRUE
"Yellow-throated Miner",0.8602,2.43,"Manorina flavigula","Passeriformes","Endemic (entirely Australian)",TRUE
"Azure Kingfisher",0.2832,3.74,"Ceyx azureus","Coraciiformes","Australian",TRUE
"Yellow-throated Scrubwren",0.6932,3.15,"Neosericornis citreogularis","Passeriformes","Endemic (entirely Australian)",TRUE
"Brown-headed Honeyeater",0.4685,2.7,"Melithreptus brevirostris","Passeriformes","Endemic (entirely Australian)",TRUE
"Brown Quail",0.2919,1.8,"Synoicus ypsilophorus","Galliformes","Australian",TRUE
"Rufous Songlark",0.6845,3.62,"Cincloramphus mathewsi","Passeriformes","Endemic (entirely Australian)",TRUE
"Buff-rumped Thornbill",0.6224,3.39,"Acanthiza reguloides","Passeriformes","Endemic (entirely Australian)",TRUE
"Tawny Grassbird",0.6159,3.1,"Cincloramphus timoriensis","Passeriformes","Australian",TRUE
"Little Friarbird",0.6407,2.03,"Philemon citreogularis","Passeriformes","Australian",TRUE
"Topknot Pigeon",0.388,2.54,"Lopholaimus antarcticus","Columbiformes","Endemic (entirely Australian)",TRUE
"Apostlebird",0.8175,3.17,"Struthidea cinerea","Passeriformes","Endemic (entirely Australian)",TRUE
"Brown Treecreeper",0.7565,4.04,"Climacteris picumnus","Passeriformes","Endemic (entirely Australian)",TRUE
"Spangled Drongo",0.5517,3.12,"Dicrurus bracteatus","Passeriformes","Australian",TRUE
"Restless Flycatcher",0.4999,4.04,"Myiagra inquieta","Passeriformes","Australian",TRUE
"Large-billed Scrubwren",0.5647,2.75,"Sericornis magnirostra","Passeriformes","Endemic (entirely Australian)",TRUE
"Long-billed Corella",0.4231,2.24,"Cacatua tenuirostris","Psittaciformes","Endemic (entirely Australian)",TRUE
"Little Grassbird",0.5199,2.24,"Poodytes gramineus","Passeriformes","Australian",TRUE
"Leaden Flycatcher",0.4442,5.74,"Myiagra rubecula","Passeriformes","Australian",TRUE
"Striped Honeyeater",0.5576,3.43,"Plectorhyncha lanceolata","Passeriformes","Endemic (entirely Australian)",TRUE
"Double-barred Finch",0.668,4.59,"Stizoptera bichenovii","Passeriformes","Endemic (entirely Australian)",TRUE
"Tawny Frogmouth",0.2425,4.29,"Podargus strigoides","Caprimulgiformes","Endemic (entirely Australian)",TRUE
"Green Catbird",0.5812,2.89,"Ailuroedus crassirostris","Passeriformes","Endemic (entirely Australian)",TRUE
"Swamp Harrier",0.4726,3.62,"Circus approximans","Accipitriformes","Australian",TRUE
"Brown Goshawk",0.1441,1.85,"Tachyspiza fasciata","Accipitriformes","Australian",TRUE
"Shining Bronze-Cuckoo",0.3215,5.08,"Chalcites lucidus","Cuculiformes","Australian",TRUE
"Jacky-winter",0.5823,3.4,"Microeca fascinans","Passeriformes","Australian",TRUE
"Dusky Woodswallow",0.5521,3.75,"Artamus cyanopterus","Passeriformes","Endemic (entirely Australian)",TRUE
"Wedge-tailed Eagle",0.2905,2.05,"Aquila audax","Accipitriformes","Australian",TRUE
"Australian Pipit",0.4853,2.6,"Anthus australis","Passeriformes","Unknown",TRUE
"Black-faced Monarch",0.6343,5.82,"Monarcha melanopsis","Passeriformes","Endemic (breeding only)",TRUE
"Osprey",0.5015,1.8,"Pandion haliaetus","Accipitriformes","Australian",TRUE
"Rainbow Bee-eater",0.6273,5.17,"Merops ornatus","Coraciiformes","Australian",TRUE
"Common Bronzewing",0.4734,3.52,"Phaps chalcoptera","Columbiformes","Endemic (entirely Australian)",TRUE
"Weebill",NA,3.68,"Smicrornis brevirostris","Passeriformes","Endemic (entirely Australian)",TRUE
"Australian Rufous Fantail",0.4977,5.98,"Rhipidura rufifrons","Passeriformes","Australian",TRUE
"White-throated Gerygone",0.5301,5.36,"Gerygone olivacea","Passeriformes","Australian",TRUE
"White-naped Honeyeater",0.4305,4.7,"Melithreptus lunatus","Passeriformes","Endemic (entirely Australian)",TRUE
"White-eared Honeyeater",0.5417,3.21,"Nesoptilotis leucotis","Passeriformes","Endemic (entirely Australian)",TRUE
"White-breasted Woodswallow",0.6584,5.6,"Artamus leucorynchus","Passeriformes","Australian",TRUE
"Spiny-cheeked Honeyeater",0.7875,2.96,"Acanthagenys rufogularis","Passeriformes","Endemic (entirely Australian)",TRUE
"White-headed Pigeon",0.4195,3.69,"Columba leucomela","Columbiformes","Endemic (entirely Australian)",TRUE
"Peaceful Dove",0.599,4.17,"Geopelia placida","Columbiformes","Australian",TRUE
"Fairy Martin",0.4225,3.41,"Petrochelidon ariel","Passeriformes","Endemic (breeding only)",TRUE
"Superb Lyrebird",0.6302,6.51,"Menura novaehollandiae","Passeriformes","Endemic (entirely Australian)",TRUE
"Channel-billed Cuckoo",0.4701,5.02,"Scythrops novaehollandiae","Cuculiformes","Australian",TRUE
"Scaly-breasted Lorikeet",0.5462,3.39,"Trichoglossus chlorolepidotus","Psittaciformes","Endemic (entirely Australian)",TRUE
"Tree Martin",0.2901,2.22,"Petrochelidon nigricans","Passeriformes","Endemic (breeding only)",TRUE
"Black-shouldered Kite",0.2389,2.05,"Elanus axillaris","Accipitriformes","Endemic (entirely Australian)",TRUE
"White-winged Chough",0.5998,3.18,"Corcorax melanorhamphos","Passeriformes","Endemic (entirely Australian)",TRUE
"Golden-headed Cisticola",0.5182,2.15,"Cisticola exilis","Passeriformes","Australian",TRUE
"Little Raven",0.7295,3.27,"Corvus mellori","Passeriformes","Endemic (entirely Australian)",TRUE
"White-cheeked Honeyeater",0.5562,3.82,"Phylidonyris niger","Passeriformes","Endemic (entirely Australian)",TRUE
