"CensusKey","FRic","FEve","FDis","FDiv","Q","sp_richness","ibraCode","IBRA","zonekey","formation","class","CCS","SCS","FCS","vi","LMA_cwm","seedmass_cwm","height_cwm","LA_cwm","leafN_cwm","wooddensity_cwm","classIBRA"
"CPJGI0131386",0.020114085,0.861564959,1.162336515,0.740883198,1.618464112,32,"SYB","Sydney Basin",770819,"Dry sclerophyll forests (Shrubby subformation)","Sydney Coastal Dry Sclerophyll Forests",50.6459994,0.01,NA,0.711660027,2.17838528523285,0.192657281867412,-0.0641320017017866,1.73617897238284,1.04167090516065,-0.153241213937642,"Sydney Coastal Dry Sclerophyll ForestsSydney Basin"
"CPJGI0131394",0.158788885,0.811073278,1.842206146,0.761999237,2.46936242,50,"SYB","Sydney Basin",770827,"Forested wetlands","Eastern Riverine Forests",85.23813523,0.01,NA,0.923245012,2.05482244696506,-0.0545234282935541,0.479587451045733,2.48436786417469,1.10678852981641,-0.21380560307531,"Eastern Riverine ForestsSydney Basin"
"CPJGI0131398",0.065440235,0.835497839,1.137657842,0.714446645,1.616130403,59,"SYB","Sydney Basin",770831,"Dry sclerophyll forests (Shrubby subformation)","Sydney Hinterland Dry Sclerophyll Forests",93.5876711,0.01,NA,0.967407211,2.20346380382777,0.5581889164752,0.089708000853927,2.31953884958243,1.12943088189035,-0.178393849850575,"Sydney Hinterland Dry Sclerophyll ForestsSydney Basin"
"CPJGI0131402",0.11597411,0.807346238,1.299101681,0.705872584,1.852867735,45,"SYB","Sydney Basin",770835,"Grassy woodlands","Coastal Valley Grassy Woodlands",96.28535497,0.01,NA,0.981251013,2.0656915512973,0.300779971628497,0.0782877449879317,2.48093907055809,1.1959682931578,-0.184458124751744,"Coastal Valley Grassy WoodlandsSydney Basin"
"CPJGI0131406",0.111164437,0.848127176,1.221083967,0.74513892,1.707955025,55,"SYB","Sydney Basin",770839,"Dry sclerophyll forests (Shrubby subformation)","Sydney Coastal Dry Sclerophyll Forests",90.0396199,0.01,NA,0.94889209,2.27558880993843,0.35217890356904,0.122619874087515,1.98740156391373,0.995002992390177,-0.1853050228617,"Sydney Coastal Dry Sclerophyll ForestsSydney Basin"
"CPJGI0131410",0.037529164,0.857832564,1.11708246,0.747152038,1.559012249,42,"SYB","Sydney Basin",770843,"Wet sclerophyll forests (Grassy subformation)","Northern Hinterland Wet Sclerophyll Forests",70.74837039,0.01,NA,0.841120505,2.2678863795252,0.667381489276784,0.170387682255901,2.44892779959032,1.04988405789189,-0.182390105801785,"Northern Hinterland Wet Sclerophyll ForestsSydney Basin"
"CPJGI0131414",0.149696138,0.845462152,1.415060081,0.735808333,1.977313388,57,"SYB","Sydney Basin",770847,"Dry sclerophyll forests (Shrubby subformation)","Sydney Hinterland Dry Sclerophyll Forests",94.1150954,0.01,NA,0.970129349,2.11800394413265,0.546241540468908,0.250622604539409,2.72365702238001,1.11511216246008,-0.198814075784817,"Sydney Hinterland Dry Sclerophyll ForestsSydney Basin"
"CPJGI0131454",0.260095724,0.796980395,1.468638551,0.66227948,2.140018161,64,"SYB","Sydney Basin",770887,"Wet sclerophyll forests (Shrubby subformation)","Southern Escarpment Wet Sclerophyll Forests",89.08840461,0.01,NA,0.94386654,1.99904129652563,0.673740227814331,0.522348525400787,3.17781285859637,1.21559921490694,-0.235110732307652,"Southern Escarpment Wet Sclerophyll ForestsSydney Basin"
"CPJGI0131534",0.127550721,0.808611241,1.267423445,0.707022714,1.801424538,51,"SYB","Sydney Basin",770967,"Grassy woodlands","Coastal Valley Grassy Woodlands",93.42469502,0.01,NA,0.966564509,1.90145050239472,0.0784366898607258,0.0831668297017441,2.76835385400559,1.2961997321066,-0.188005799963638,"Coastal Valley Grassy WoodlandsSydney Basin"
"CPJGI0131538",0.085135166,0.783829993,1.194155414,0.706065426,1.701561944,37,"SYB","Sydney Basin",770971,"Dry sclerophyll forests (Shrubby subformation)","Western Slopes Dry Sclerophyll Forests",98.55719658,0.01,NA,0.992759772,2.18013665800787,0.467252803778003,0.189924265954521,2.45447169354893,1.18037407174877,-0.185215842562963,"Western Slopes Dry Sclerophyll ForestsSydney Basin"
